Year for temperature difference,Annual temp difference (°C),Annual temp difference smooth (°C),Year.Month for CO2,CO2 (ppm),Year for Arctic sea ice extent,Arctic sea ice extent (million square km),Person ID number,Gender,Daily fruit/veggies,Daily stress (0-5),Number of close friends,Number of social interactions per day,Sleeping hours
1930.0,-0.16,-0.19,1962.05.01,318.2,,,10051.0,Female,4.0,3.0,3.0,10.0,7.0
1931.0,-0.1,-0.19,1962.06.01,318.27,,,10052.0,Female,3.0,5.0,9.0,10.0,8.0
1932.0,-0.16,-0.18,1962.07.01,318.67,,,10053.0,Male,1.0,2.0,6.0,10.0,6.0
1933.0,-0.29,-0.17,1962.08.01,318.48,,,10054.0,Female,5.0,2.0,6.0,9.0,8.0
1934.0,-0.13,-0.16,1962.09.01,319.03,,,10055.0,Female,4.0,2.0,10.0,2.0,6.0
1935.0,-0.2,-0.14,1962.10.01,318.33,,,10056.0,Female,1.0,4.0,1.0,7.0,6.0
1936.0,-0.15,-0.11,1962.11.01,318.62,,,10057.0,Female,4.0,2.0,6.0,10.0,8.0
1937.0,-0.03,-0.07,1962.12.01,318.61,,,10058.0,Male,5.0,4.0,6.0,10.0,7.0
1938.0,-0.01,-0.02,1963.01.01,318.91,,,10059.0,Female,4.0,3.0,1.0,2.0,7.0
1939.0,-0.02,0.03,1963.02.01,318.68,,,10060.0,Male,0.0,5.0,2.0,2.0,10.0
1940.0,0.13,0.06,1963.03.01,318.69,,,10061.0,Male,0.0,5.0,2.0,2.0,10.0
1941.0,0.19,0.09,1963.04.01,319.09,,,10062.0,Female,4.0,3.0,7.0,8.0,7.0
1942.0,0.07,0.11,1963.05.01,319.39,,,10063.0,Male,5.0,2.0,5.0,4.0,7.0
1943.0,0.09,0.1,1963.06.01,319.16,,,10064.0,Male,1.0,1.0,2.0,5.0,6.0
1944.0,0.2,0.07,1963.07.01,318.77,,,10065.0,Female,2.0,5.0,4.0,0.0,9.0
1945.0,0.09,0.04,1963.08.01,318.83,,,10066.0,Female,3.0,3.0,8.0,6.0,6.0
1946.0,-0.07,0.0,1963.09.01,319.06,,,10067.0,Female,3.0,3.0,8.0,6.0,6.0
1947.0,-0.03,-0.04,1963.10.01,319.0,,,10068.0,Male,2.0,1.0,3.0,4.0,7.0
1948.0,-0.11,-0.07,1963.11.01,319.1,,,10069.0,Female,3.0,1.0,1.0,3.0,7.0
1949.0,-0.11,-0.08,1963.12.01,319.25,,,10070.0,Female,3.0,2.0,4.0,10.0,8.0
1950.0,-0.17,-0.08,1964.01.01,319.67,,,10071.0,Male,4.0,3.0,10.0,10.0,8.0
1951.0,-0.07,-0.07,1964.02.01,319.61,,,10072.0,Female,3.0,5.0,0.0,3.0,4.0
1952.0,0.01,-0.07,1964.03.01,319.55,,,10073.0,Female,0.0,4.0,2.0,3.0,4.0
1953.0,0.08,-0.07,1964.04.01,319.48,,,10074.0,Male,4.0,3.0,8.0,10.0,6.0
1954.0,-0.13,-0.07,1964.05.01,319.42,,,10075.0,Female,5.0,1.0,4.0,2.0,8.0
1955.0,-0.14,-0.06,1964.06.01,319.69,,,10076.0,Female,5.0,2.0,1.0,10.0,7.0
1956.0,-0.19,-0.05,1964.07.01,319.58,,,10077.0,Female,5.0,2.0,1.0,5.0,8.0
1957.0,0.05,-0.04,1964.08.01,319.81,,,10078.0,Female,5.0,2.0,1.0,5.0,8.0
1958.0,0.06,-0.01,1964.09.01,319.56,,,10079.0,Female,3.0,3.0,10.0,7.0,8.0
1959.0,0.03,0.02,1964.10.01,319.78,,,10080.0,Male,0.0,5.0,2.0,0.0,6.0
1960.0,-0.02,0.03,1964.11.01,319.72,,,10081.0,Male,1.0,1.0,2.0,3.0,8.0
1961.0,0.06,0.02,1964.12.01,319.59,,,10082.0,Female,5.0,1.0,4.0,4.0,8.0
1962.0,0.04,-0.01,1965.01.01,319.48,,,10083.0,Male,0.0,5.0,2.0,0.0,6.0
1963.0,0.05,-0.02,1965.02.01,319.97,,,10084.0,Female,3.0,4.0,7.0,7.0,6.0
1964.0,-0.2,-0.04,1965.03.01,319.65,,,10085.0,Female,5.0,2.0,5.0,10.0,8.0
1965.0,-0.11,-0.05,1965.04.01,319.8,,,10086.0,Female,5.0,2.0,6.0,10.0,6.0
1966.0,-0.06,-0.06,1965.05.01,319.36,,,10087.0,Female,4.0,4.0,2.0,10.0,6.0
1967.0,-0.02,-0.05,1965.06.01,319.65,,,10088.0,Female,2.0,4.0,6.0,5.0,8.0
1968.0,-0.08,-0.03,1965.07.01,320.51,,,10089.0,Female,5.0,0.0,3.0,7.0,8.0
1969.0,0.05,-0.02,1965.08.01,319.93,,,10090.0,Female,5.0,0.0,3.0,7.0,8.0
1970.0,0.02,-0.01,1965.09.01,320.68,,,10091.0,Female,3.0,4.0,7.0,4.0,6.0
1971.0,-0.08,0.0,1965.10.01,320.36,,,10092.0,Female,3.0,4.0,4.0,5.0,6.0
1972.0,0.01,-0.0,1965.11.01,320.87,,,10093.0,Female,5.0,3.0,1.0,10.0,8.0
1973.0,0.16,-0.0,1965.12.01,320.26,,,10094.0,Male,3.0,4.0,1.0,3.0,6.0
1974.0,-0.07,0.0,1966.01.01,320.63,,,10095.0,Male,3.0,2.0,3.0,10.0,7.0
1975.0,-0.01,0.02,1966.02.01,321.1,,,10096.0,Male,2.0,3.0,4.0,10.0,6.0
1976.0,-0.1,0.04,1966.03.01,321.16,,,10097.0,Female,1.0,5.0,1.0,3.0,10.0
